app_id,order,ctx0,ctx1,ctx2,ctx3,next_op,count,prob
4,4,2,3,4,5,22,191,0.221065
4,4,2,3,4,5,18,182,0.210648
4,4,2,3,4,5,14,110,0.127315
4,4,2,3,4,5,12,101,0.116898
4,4,2,3,4,5,17,99,0.114583
4,4,2,3,4,5,6,49,0.056713
4,4,2,3,4,5,30,31,0.035880
4,4,2,3,4,5,41,27,0.031250
4,4,2,3,4,5,8,26,0.030093
4,4,2,3,4,5,10,21,0.024306
4,4,2,3,4,5,32,18,0.020833
4,4,2,3,4,5,9,3,0.003472
4,4,2,3,4,5,23,2,0.002315
4,4,2,3,4,5,24,2,0.002315
4,4,2,3,4,5,40,2,0.002315
4,4,2,23,4,5,30,103,0.206413
4,4,2,23,4,5,9,95,0.190381
4,4,2,23,4,5,8,86,0.172345
4,4,2,23,4,5,16,70,0.140281
4,4,2,23,4,5,18,57,0.114228
4,4,2,23,4,5,41,36,0.072144
4,4,2,23,4,5,6,32,0.064128
4,4,2,23,4,5,10,6,0.012024
4,4,2,23,4,5,22,4,0.008016
4,4,2,23,4,5,23,4,0.008016
4,4,2,23,4,5,4,2,0.004008
4,4,2,23,4,5,31,2,0.004008
4,4,2,23,4,5,24,1,0.002004
4,4,2,23,4,5,40,1,0.002004
4,4,2,24,40,4,5,353,1.000000
4,4,2,25,22,21,31,24,1.000000
4,4,2,32,23,4,5,33,1.000000
4,4,2,32,32,3,4,30,1.000000
4,4,2,32,32,33,34,2,1.000000
4,4,2,32,33,27,4,29,1.000000
4,4,2,32,33,28,4,6,1.000000
4,4,2,32,33,34,35,5,1.000000
4,4,2,32,33,39,4,3,1.000000
4,4,2,33,27,4,5,107,1.000000
4,4,2,33,28,4,5,50,1.000000
4,4,2,33,32,34,35,11,1.000000
4,4,2,33,34,35,36,98,1.000000
4,4,2,33,39,4,5,50,1.000000
4,4,3,4,5,2,3,17,0.425000
4,4,3,4,5,2,23,8,0.200000
4,4,3,4,5,2,33,8,0.200000
4,4,3,4,5,2,24,4,0.100000
4,4,3,4,5,2,32,2,0.050000
4,4,3,4,5,2,25,1,0.025000
4,4,3,4,5,6,7,49,1.000000
4,4,3,4,5,8,5,26,1.000000
4,4,3,4,5,9,5,3,1.000000
4,4,3,4,5,10,5,21,1.000000
4,4,3,4,5,12,13,101,1.000000
4,4,3,4,5,14,31,110,0.990991
4,4,3,4,5,14,2,1,0.009009
4,4,3,4,5,17,31,99,0.990000
4,4,3,4,5,17,2,1,0.010000
4,4,3,4,5,18,31,96,0.524590
4,4,3,4,5,18,19,35,0.191257
4,4,3,4,5,18,14,27,0.147541
4,4,3,4,5,18,20,24,0.131148
4,4,3,4,5,18,2,1,0.005464
4,4,3,4,5,22,31,104,0.544503
4,4,3,4,5,22,25,61,0.319372
4,4,3,4,5,22,21,26,0.136126
4,4,3,4,5,23,4,2,1.000000
4,4,3,4,5,24,40,2,1.000000
4,4,3,4,5,30,5,31,1.000000
4,4,3,4,5,31,3,1,1.000000
4,4,3,4,5,32,5,18,1.000000
4,4,3,4,5,40,4,2,1.000000
4,4,3,4,5,41,2,26,1.000000
4,4,4,5,2,3,4,44,1.000000
4,4,4,5,2,23,4,30,1.000000
4,4,4,5,2,24,40,22,1.000000
4,4,4,5,2,25,22,2,1.000000
4,4,4,5,2,32,23,5,0.625000
4,4,4,5,2,32,33,2,0.250000
4,4,4,5,2,32,32,1,0.125000
4,4,4,5,2,33,27,7,0.350000
4,4,4,5,2,33,34,7,0.350000
4,4,4,5,2,33,28,3,0.150000
4,4,4,5,2,33,39,3,0.150000
4,4,4,5,4,5,2,3,0.500000
4,4,4,5,4,5,4,1,0.166667
4,4,4,5,4,5,14,1,0.166667
4,4,4,5,4,5,24,1,0.166667
4,4,4,5,6,7,5,95,1.000000
4,4,4,5,8,5,31,76,0.638655
4,4,4,5,8,5,8,39,0.327731
4,4,4,5,8,5,18,2,0.016807
4,4,4,5,8,5,6,1,0.008403
4,4,4,5,8,5,9,1,0.008403
4,4,4,5,9,5,31,94,0.949495
4,4,4,5,9,5,22,2,0.020202
4,4,4,5,9,5,18,1,0.010101
4,4,4,5,9,5,30,1,0.010101
4,4,4,5,9,5,41,1,0.010101
4,4,4,5,10,5,11,37,1.000000
4,4,4,5,12,13,31,101,1.000000
4,4,4,5,14,2,3,2,0.333333
4,4,4,5,14,2,23,1,0.166667
4,4,4,5,14,2,24,1,0.166667
4,4,4,5,14,2,32,1,0.166667
4,4,4,5,14,2,33,1,0.166667
4,4,4,5,14,31,2,164,1.000000
4,4,4,5,16,31,2,66,1.000000
4,4,4,5,17,2,23,1,0.500000
4,4,4,5,17,2,32,1,0.500000
4,4,4,5,17,31,2,96,1.000000
4,4,4,5,18,2,3,3,0.600000
4,4,4,5,18,2,23,1,0.200000
4,4,4,5,18,2,32,1,0.200000
4,4,4,5,18,14,16,45,1.000000
4,4,4,5,18,19,20,41,0.506173
4,4,4,5,18,19,31,40,0.493827
4,4,4,5,18,20,31,50,1.000000
4,4,4,5,18,31,2,152,1.000000
4,4,4,5,22,21,31,26,1.000000
4,4,4,5,22,25,31,37,0.606557
4,4,4,5,22,25,26,24,0.393443
4,4,4,5,22,31,2,165,0.937500
4,4,4,5,22,31,23,11,0.062500
4,4,4,5,23,4,5,17,1.000000
4,4,4,5,24,40,4,12,1.000000
4,4,4,5,29,31,2,49,1.000000
4,4,4,5,30,5,31,93,0.628378
