model,split,checkpoint_type,k,recall_at_k,mrr_at_8,num_samples,num_target_apps,history_len,window_seconds,app_embedding_dim,hidden_dim,dropout,batch_size,epochs,learning_rate,seed,loss,parameter_count
v3_aligned_next_app,val,last,1,0.4877541932610954,0.6658320864885094,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.5582857502042955,31187
v3_aligned_next_app,val,last,2,0.7320765919548761,0.6658320864885094,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.5582857502042955,31187
v3_aligned_next_app,val,last,3,0.8347929345405967,0.6658320864885094,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.5582857502042955,31187
v3_aligned_next_app,val,last,4,0.8727920439364703,0.6658320864885094,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.5582857502042955,31187
v3_aligned_next_app,val,last,5,0.9001039038147544,0.6658320864885094,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.5582857502042955,31187
v3_aligned_next_app,val,last,6,0.9199940626391568,0.6658320864885094,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.5582857502042955,31187
v3_aligned_next_app,val,last,7,0.9327593884518331,0.6658320864885094,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.5582857502042955,31187
v3_aligned_next_app,val,last,8,0.9453762802434318,0.6658320864885094,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.5582857502042955,31187
v3_aligned_next_app,test,last,1,0.5313204710598848,0.6875533998624868,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.5012370259954917,31187
v3_aligned_next_app,test,last,2,0.7455524931094963,0.6875533998624868,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.5012370259954917,31187
v3_aligned_next_app,test,last,3,0.8256076171385618,0.6875533998624868,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.5012370259954917,31187
v3_aligned_next_app,test,last,4,0.8623152092207467,0.6875533998624868,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.5012370259954917,31187
v3_aligned_next_app,test,last,5,0.8900025056376848,0.6875533998624868,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.5012370259954917,31187
v3_aligned_next_app,test,last,6,0.9075419694312202,0.6875533998624868,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.5012370259954917,31187
v3_aligned_next_app,test,last,7,0.926083688298672,0.6875533998624868,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.5012370259954917,31187
v3_aligned_next_app,test,last,8,0.9432473064394888,0.6875533998624868,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.5012370259954917,31187
v3_aligned_next_app,val,best_val_recall8,1,0.5040819355796349,0.678419115371019,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.481568214879893,31187
v3_aligned_next_app,val,best_val_recall8,2,0.742170105388155,0.678419115371019,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.481568214879893,31187
v3_aligned_next_app,val,best_val_recall8,3,0.8417693335312454,0.678419115371019,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.481568214879893,31187
v3_aligned_next_app,val,best_val_recall8,4,0.8799168769481965,0.678419115371019,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.481568214879893,31187
v3_aligned_next_app,val,best_val_recall8,5,0.9045569244470832,0.678419115371019,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.481568214879893,31187
v3_aligned_next_app,val,best_val_recall8,6,0.9272673296719608,0.678419115371019,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.481568214879893,31187
v3_aligned_next_app,val,best_val_recall8,7,0.9430013359061897,0.678419115371019,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.481568214879893,31187
v3_aligned_next_app,val,best_val_recall8,8,0.9557666617188659,0.678419115371019,6737,19,23,3600,32,64,0.2,8,20,0.001,42,1.481568214879893,31187
v3_aligned_next_app,test,best_val_recall8,1,0.5309446254071661,0.6900908050457059,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.4406011091030442,31187
v3_aligned_next_app,test,best_val_recall8,2,0.7514407416687547,0.6900908050457059,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.4406011091030442,31187
v3_aligned_next_app,test,best_val_recall8,3,0.8331245301929341,0.6900908050457059,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.4406011091030442,31187
v3_aligned_next_app,test,best_val_recall8,4,0.8708343773490353,0.6900908050457059,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.4406011091030442,31187
v3_aligned_next_app,test,best_val_recall8,5,0.8923828614382361,0.6900908050457059,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.4406011091030442,31187
v3_aligned_next_app,test,best_val_recall8,6,0.91305437233776,0.6900908050457059,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.4406011091030442,31187
v3_aligned_next_app,test,best_val_recall8,7,0.9328489100476071,0.6900908050457059,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.4406011091030442,31187
v3_aligned_next_app,test,best_val_recall8,8,0.9461287897769982,0.6900908050457059,7982,19,23,3600,32,64,0.2,8,20,0.001,42,1.4406011091030442,31187
